time,elevation,azimuth,range,visibility,signal
2026-04-14 01:45:14.558,0.0,153.004,2342.582269,0,0.0
2026-04-14 01:46:14.000,1.657,142.919,2167.927127,0,8.488579852185652e-06
2026-04-14 01:47:14.000,2.739,131.315,2062.600849,0,1.4747684053377386e-05
2026-04-14 01:48:14.000,2.998,118.955,2040.224091,0,1.6319183796616826e-05
2026-04-14 01:49:14.000,2.371,106.846,2103.688376,0,1.25170285277636e-05
2026-04-14 01:50:14.000,1.009,95.882,2245.610617,0,4.990233299120526e-06
2026-04-14 01:50:48.285,0.0,90.326,2356.65245,0,0.0
2026-04-14 03:18:47.640,0.0,218.737,2344.291243,0,0.0
2026-04-14 03:19:47.000,4.089,217.947,1935.503227,0,2.346153246732149e-05
2026-04-14 03:20:47.000,9.434,216.661,1525.60211,1,6.866374776740105e-05
2026-04-14 03:21:47.000,17.272,214.278,1125.282108,1,0.00017039346514338046
2026-04-14 03:22:47.000,31.172,208.568,753.003704,1,0.00045935524416940474
2026-04-14 03:23:47.000,59.789,181.996,482.310912,1,0.0013745235328397104
2026-04-14 03:24:47.000,53.831,74.619,514.226179,1,0.0011608925295355037
2026-04-14 03:25:47.000,28.216,55.921,813.765045,1,0.0003847871395993812
2026-04-14 03:26:47.000,15.843,51.168,1193.394453,1,0.00014738291264764715
2026-04-14 03:27:47.000,8.596,49.094,1595.936423,1,5.9808962796204633e-05
2026-04-14 03:28:47.000,3.525,47.976,2006.440448,0,1.9510748976732117e-05
2026-04-14 03:29:39.523,0.0,47.374,2368.021732,0,0.0
2026-04-14 04:56:46.872,0.0,270.973,2356.876112,0,0.0
2026-04-14 04:57:46.000,3.081,278.164,2040.770892,0,1.676649102378002e-05
2026-04-14 04:58:46.000,6.338,287.97,1759.34337,1,4.0004821458339805e-05
2026-04-14 04:59:46.000,9.395,301.117,1540.605908,1,6.771438040498796e-05
2026-04-14 05:00:46.000,11.466,317.74,1414.861996,1,8.998052095467076e-05
2026-04-14 05:01:46.000,11.619,336.103,1407.65562,1,9.164766616272044e-05
2026-04-14 05:02:46.000,9.777,353.065,1520.556183,1,7.139620248471189e-05
2026-04-14 05:03:46.000,6.824,6.648,1729.686856,1,4.3810480191352544e-05
2026-04-14 05:04:46.000,3.595,16.829,2004.350356,0,1.9918935524124668e-05
2026-04-14 05:05:46.000,0.471,24.398,2320.393856,0,2.2543926873102455e-06
2026-04-14 05:05:55.389,0.0,25.399,2372.468339,0,0.0
2026-04-14 06:37:44.548,0.0,327.551,2371.13234,0,0.0
2026-04-14 06:38:44.000,0.886,338.05,2275.61548,0,4.3241577380667045e-06
2026-04-14 06:39:44.000,1.143,349.216,2249.509017,0,5.643167791848931e-06
2026-04-14 06:40:44.000,0.711,0.281,2296.443565,0,3.4386045952776204e-06
2026-04-14 06:41:28.015,0.0,7.955,2374.941346,0,0.0
2026-04-14 08:17:02.015,0.0,354.066,2376.463064,0,0.0
2026-04-14 08:18:02.000,0.617,4.719,2308.992017,0,2.9677832239692784e-06
2026-04-14 08:19:02.000,0.592,15.671,2311.897794,0,2.8439552300328655e-06
2026-04-14 08:19:57.392,-0.0,25.488,2376.988898,0,0.0
2026-04-14 09:52:30.979,0.0,336.756,2376.963457,0,0.0
2026-04-14 09:53:30.000,2.826,344.477,2082.941365,0,1.5067602441875803e-05
2026-04-14 09:54:30.000,5.673,354.696,1827.964098,1,3.446395333963157e-05
2026-04-14 09:55:30.000,8.129,7.786,1639.313825,1,5.506398888165332e-05
2026-04-14 09:56:30.000,9.542,23.461,1542.537241,1,6.868782910189741e-05
2026-04-14 09:57:30.000,9.336,40.05,1555.421106,1,6.664862930311183e-05
2026-04-14 09:58:30.000,7.601,55.226,1675.508947,1,5.037584541775521e-05
2026-04-14 09:59:30.000,4.99,67.631,1882.076348,0,2.9443545665756753e-05
2026-04-14 10:00:30.000,2.099,77.228,2149.731866,0,1.084385394149464e-05
2026-04-14 10:01:13.712,0.0,82.764,2371.078258,0,0.0
2026-04-14 11:28:39.030,0.0,315.767,2376.18898,0,0.0
2026-04-14 11:29:39.000,4.09,316.206,1963.530245,0,2.3132473811541876e-05
2026-04-14 11:30:39.000,9.368,316.789,1553.177339,1,6.697362410126409e-05
2026-04-14 11:31:39.000,17.065,317.696,1150.743701,1,0.00016462960548122078
2026-04-14 11:32:39.000,30.727,319.587,771.831282,1,0.00044176668189152194
2026-04-14 11:33:39.000,61.749,328.212,479.687581,1,0.001427330405692341
2026-04-14 11:34:39.000,61.893,122.601,478.55477,1,0.001434038493663612
2026-04-14 11:35:39.000,30.704,131.294,769.809901,1,0.00044259363445249203
2026-04-14 11:36:39.000,16.982,133.164,1148.677312,1,0.00016412334741184217
2026-04-14 11:37:39.000,9.261,134.032,1551.322369,1,6.628777762591141e-05
2026-04-14 11:38:39.000,3.972,134.561,1962.021309,0,2.2482350614836517e-05
2026-04-14 11:39:36.927,0.0,134.92,2361.043207,0,0.0
2026-04-14 13:06:49.494,0.0,278.896,2371.371707,0,0.0
2026-04-14 13:07:49.000,2.318,269.934,2125.829708,0,1.2109834397496367e-05
2026-04-14 13:08:49.000,4.291,258.794,1938.421175,0,2.458350893161605e-05
2026-04-14 13:09:49.000,5.522,245.758,1830.779002,1,3.349506435468767e-05
2026-04-14 13:10:49.000,5.66,231.8,1817.468033,1,3.45834448269836e-05
2026-04-14 13:11:49.000,4.658,218.386,1900.383719,0,2.7219942528368502e-05
2026-04-14 13:12:49.000,2.816,206.673,2067.529403,0,1.5126151382479955e-05
2026-04-14 13:13:49.000,0.529,197.062,2299.876733,0,2.554581778969981e-06
2026-04-14 13:14:02.126,0.0,195.229,2357.505522,0,0.0
2026-04-15 02:31:41.128,0.0,205.323,2341.496324,0,0.0
2026-04-15 02:32:41.000,3.961,202.04,1944.325006,0,2.2624040186275747e-05
2026-04-15 02:33:41.000,8.913,196.994,1557.713796,1,6.353529017801375e-05
2026-04-15 02:34:41.000,15.53,188.424,1196.129633,1,0.0001441410777904915
2026-04-15 02:35:41.000,24.53,171.939,893.032637,1,0.00030486085661272737
2026-04-15 02:36:41.000,32.65,139.566,727.735641,1,0.0004978180802025267
2026-04-15 02:37:41.000,29.122,100.614,792.602948,1,0.0004077325803706286
2026-04-15 02:38:41.000,19.567,77.654,1045.472148,1,0.00020775623271639246
2026-04-15 02:39:41.000,11.903,66.242,1386.377029,1,9.53277680046954e-05
2026-04-15 02:40:41.000,6.297,59.925,1764.030689,1,3.964048166567979e-05
2026-04-15 02:41:41.000,1.942,56.017,2158.067961,0,9.994024351036986e-06
2026-04-15 02:42:12.070,0.0,54.54,2365.423268,0,0.0
2026-04-15 04:08:49.738,0.0,257.871,2352.361713,0,0.0
2026-04-15 04:09:49.000,3.516,263.508,1995.542997,0,1.9567155190430725e-05
2026-04-15 04:10:49.000,7.59,271.629,1660.037685,1,5.0771475021250544e-05
2026-04-15 04:11:49.000,12.15,283.677,1371.273153,1,9.837691548863231e-05
2026-04-15 04:12:49.000,16.45,301.493,1165.956173,1,0.0001566277997466643
2026-04-15 04:13:49.000,18.332,324.726,1093.022046,1,0.00018618353225478685
2026-04-15 04:14:49.000,16.247,347.696,1177.459895,1,0.00015318486695062476
2026-04-15 04:15:49.000,11.921,5.053,1390.467366,1,9.519127705906653e-05
2026-04-15 04:16:49.000,7.419,16.77,1683.145401,1,4.894668434470483e-05
2026-04-15 04:17:49.000,3.409,24.705,2020.14838,0,1.8740720944880736e-05
2026-04-15 04:18:47.250,0.0,30.175,2370.799091,0,0.0
2026-04-15 05:49:07.180,0.0,312.914,2367.120936,0,0.0
2026-04-15 05:50:07.000,1.473,323.118,2210.196883,0,7.4017229277482965e-06
2026-04-15 05:51:07.000,2.368,334.543,2120.91496,0,1.2399701028127495e-05
2026-04-15 05:52:07.000,2.503,346.521,2108.801335,0,1.318186250513066e-05
2026-04-15 05:53:07.000,1.852,358.198,2175.108836,0,9.456226378641377e-06
2026-04-15 05:54:07.000,0.552,8.842,2312.775624,0,2.650790020308959e-06
2026-04-15 05:54:27.405,0.0,12.148,2373.736855,0,0.0
2026-04-15 07:30:11.423,0.0,359.781,2375.663942,0,0.0
2026-04-15 07:30:37.097,0.057,4.337,2369.522805,0,2.6717031871512977e-07
2026-04-15 07:31:02.771,0.0,8.892,2376.042746,0,0.0
2026-04-15 09:05:26.315,0.0,341.184,2376.410259,0,0.0
2026-04-15 09:06:26.000,2.343,350.133,2129.770358,0,1.2217803404102606e-05
2026-04-15 09:07:26.000,4.39,1.176,1937.524001,0,2.5162328530683886e-05
2026-04-15 09:08:26.000,5.766,14.151,1819.853681,1,3.5184961501948746e-05
2026-04-15 09:09:26.000,6.104,28.222,1792.126113,1,3.782345353766103e-05
2026-04-15 09:10:26.000,5.29,41.988,1858.586182,1,3.160798802804708e-05
2026-04-15 09:11:26.000,3.574,54.214,2009.762381,0,1.974928091272616e-05
2026-04-15 09:12:26.000,1.351,64.378,2228.030139,0,6.734368839824427e-06
2026-04-15 09:12:59.727,0.0,69.204,2373.222615,0,0.0
2026-04-15 10:41:21.319,0.0,321.667,2376.190169,0,0.0
2026-04-15 10:42:21.000,3.954,324.309,1976.026685,0,2.2221922276852497e-05
2026-04-15 10:43:21.000,8.958,328.255,1580.894943,1,6.29203183016518e-05
2026-04-15 10:44:21.000,15.845,334.865,1202.610726,1,0.0001462728370165385
2026-04-15 10:45:21.000,26.205,348.066,866.292923,1,0.00033571894678848506
2026-04-15 10:46:21.000,39.35,19.84,644.170457,1,0.0006776848156613938
2026-04-15 10:47:21.000,37.662,70.794,664.377411,1,0.000628916250760227
2026-04-15 10:48:21.000,24.308,98.646,910.999336,1,0.00029615031308409735
2026-04-15 10:49:21.000,14.553,110.378,1256.630227,1,0.0001285751539112776
2026-04-15 10:50:21.000,8.012,116.406,1638.921064,1,5.428445562195805e-05
2026-04-15 10:51:21.000,3.192,120.051,2036.246907,0,1.7409115480702345e-05
2026-04-15 10:52:09.675,0.0,122.106,2363.566134,0,0.0
2026-04-15 12:18:41.525,0.0,291.626,2373.293355,0,0.0
2026-04-15 12:19:41.000,3.187,284.849,2043.780011,0,1.7317809701099972e-05
2026-04-15 12:20:41.000,6.584,275.436,1749.45149,1,4.179239240474785e-05
2026-04-15 12:21:41.000,9.847,262.485,1517.224892,1,7.206515430463059e-05
2026-04-15 12:22:41.000,12.134,245.664,1379.897912,1,9.763373602828813e-05
2026-04-15 12:23:41.000,12.343,226.747,1366.886549,1,0.00010026010164710265
2026-04-15 12:24:41.000,10.342,209.29,1481.401816,1,7.75168445362395e-05
2026-04-15 12:25:41.000,7.156,195.551,1697.31323,1,4.681769517341103e-05
2026-04-15 12:26:41.000,3.731,185.487,1980.914475,0,2.0916924558793363e-05
2026-04-15 12:27:41.000,0.467,178.173,2306.326418,0,2.2488750826103916e-06
2026-04-15 12:27:49.952,0.0,177.262,2357.351827,0,0.0
2026-04-16 01:44:50.378,0.0,190.969,2339.523502,0,0.0
2026-04-16 01:45:50.000,3.541,185.223,1980.86847,0,1.9852197580218048e-05
2026-04-16 01:46:50.000,7.599,176.898,1647.989215,1,5.1203084025830535e-05
2026-04-16 01:47:50.000,12.062,164.485,1365.954684,1,9.804437834767478e-05
2026-04-16 01:48:50.000,16.055,146.304,1173.728242,1,0.00015185545261530274
2026-04-16 01:49:50.000,17.42,123.311,1119.65638,1,0.0001727162393485464
2026-04-16 01:50:50.000,15.037,101.405,1222.530858,1,0.00013655379158224531
2026-04-16 01:51:50.000,10.763,85.18,1449.029149,1,8.247343784182707e-05
2026-04-16 01:52:50.000,6.415,74.297,1751.159262,1,4.067996518559497e-05
2026-04-16 01:53:50.000,2.534,66.969,2095.532209,0,1.342958406967911e-05
2026-04-16 01:54:33.783,0.0,63.067,2362.335056,0,0.0
2026-04-16 03:21:03.532,0.0,244.966,2348.149152,0,0.0
2026-04-16 03:22:03.000,3.861,248.746,1959.754562,0,2.1879331983418327e-05
2026-04-16 03:23:03.000,8.652,254.428,1581.041128,1,6.076538190562978e-05
2026-04-16 03:24:03.000,14.887,263.725,1229.957585,1,0.00013437596317432098
2026-04-16 03:25:03.000,22.916,280.57,940.104141,1,0.00027055690345987145
2026-04-16 03:26:03.000,29.643,310.8,784.230661,1,0.0004194521215552314
2026-04-16 03:27:03.000,26.967,346.331,840.994424,1,0.00035586142234753483
2026-04-16 03:28:03.000,18.775,9.253,1076.962315,1,0.00019352356590602253
2026-04-16 03:29:03.000,11.663,21.591,1403.750566,1,9.225046212858325e-05
2026-04-16 03:30:03.000,6.261,28.776,1770.744852,1,3.9264494878107124e-05
2026-04-16 03:31:03.000,1.996,33.419,2156.315568,0,1.028026595030708e-05
2026-04-16 03:31:35.457,0.0,35.31,2368.962721,0,0.0
2026-04-16 05:00:37.660,0.0,298.701,2362.664284,0,0.0
2026-04-16 05:01:37.000,2.031,308.179,2148.986162,0,1.0496191587425978e-05
2026-04-16 05:02:37.000,3.646,319.541,1994.737714,0,2.0298815233548824e-05
2026-04-16 05:03:37.000,4.511,332.299,1918.190091,0,2.611634066748744e-05
2026-04-16 05:04:37.000,4.406,345.507,1928.82407,0,2.5367885247464837e-05
2026-04-16 05:05:37.000,3.365,357.998,2025.120695,0,1.8453436155682173e-05
2026-04-16 05:06:37.000,1.645,8.95,2195.388948,0,8.321740006213954e-06
2026-04-16 05:07:24.609,0.0,16.357,2372.380482,0,0.0
2026-04-16 08:18:22.859,0.0,345.477,2375.695495,0,0.0
2026-04-16 08:19:22.000,1.776,355.165,2186.295345,0,9.021796429294432e-06
2026-04-16 08:20:22.000,3.078,6.516,2057.865835,0,1.6611087239688933e-05
2026-04-16 08:21:22.000,3.623,18.899,2006.533064,0,2.005225033521817e-05
2026-04-16 08:22:22.000,3.28,31.404,2038.422021,0,1.7869986726226704e-05
2026-04-16 08:23:22.000,2.131,43.061,2149.790717,0,1.1008871105229798e-05
2026-04-16 08:24:22.000,0.416,53.256,2328.93364,0,1.9838428626757894e-06
2026-04-16 08:24:34.845,0.0,55.226,2374.679089,0,0.0
2026-04-16 09:54:07.520,0.0,327.03,2375.930865,0,0.0
2026-04-16 09:55:07.000,3.684,331.641,2000.718845,0,2.0449092256676704e-05
2026-04-16 09:56:07.000,8.111,338.369,1639.739752,1,5.492779833752832e-05
2026-04-16 09:57:07.000,13.507,348.821,1313.120237,1,0.00011420399256645629
2026-04-16 09:58:07.000,19.613,5.935,1055.377873,1,0.00020629192241914957
2026-04-16 09:59:07.000,23.768,32.113,927.481434,1,0.00028443098506683644
2026-04-16 10:00:07.000,21.829,60.847,982.273946,1,0.00024667026461051416
2026-04-16 10:01:07.000,15.962,81.698,1194.833415,1,0.00014831125584122896
2026-04-16 10:02:07.000,10.141,94.461,1498.964629,1,7.512028990503467e-05
2026-04-16 10:03:07.000,5.322,102.432,1849.201,1,3.196049149975237e-05
2026-04-16 10:04:07.000,1.334,107.755,2222.827821,0,6.665184274723678e-06
2026-04-16 10:04:29.443,0.0,109.312,2366.112695,0,0.0
2026-04-16 11:30:55.568,0.0,301.123,2374.245047,0,0.0
2026-04-16 11:31:55.000,3.712,296.721,1995.887754,0,2.0654362951461338e-05
2026-04-16 11:32:55.000,8.174,290.107,1632.514907,1,5.559926134314869e-05
2026-04-16 11:33:55.000,13.597,279.604,1305.586153,1,0.0001156278730115838
2026-04-16 11:34:55.000,19.633,262.208,1051.592254,1,0.00020724496462468217
2026-04-16 11:35:55.000,23.429,235.843,933.466067,1,0.0002785785716735097
2026-04-16 11:36:55.000,21.099,207.734,1000.958241,1,0.00023397515359458313
2026-04-16 11:37:55.000,15.206,187.779,1223.429966,1,0.0001379871125724765
2026-04-16 11:38:55.000,9.495,175.658,1534.157609,1,6.872258547363261e-05
2026-04-16 11:39:55.000,4.771,168.121,1889.080422,0,2.8047013499572195e-05
2026-04-16 11:40:55.000,0.847,163.12,2266.34661,0,4.150715673379603e-06
2026-04-16 11:41:09.306,0.0,162.172,2358.27512,0,0.0
2026-04-17 00:58:20.945,0.0,174.702,2338.549657,0,0.0
2026-04-17 00:59:20.000,2.82,166.697,2048.101419,0,1.52912554951158e-05
2026-04-17 01:00:20.000,5.595,156.05,1802.68385,1,3.446649847569831e-05
2026-04-17 01:01:20.000,7.848,142.503,1631.356434,1,5.3419705515125255e-05
2026-04-17 01:02:20.000,8.91,126.66,1559.698395,1,6.343314013595818e-05
2026-04-17 01:03:20.000,8.332,110.492,1601.589622,1,5.776761343446275e-05
2026-04-17 01:04:20.000,6.379,96.213,1748.8454,1,4.05051656436493e-05
2026-04-17 01:05:20.000,3.721,84.815,1977.636976,0,2.0895416868245387e-05
2026-04-17 01:06:20.000,0.873,76.116,2262.646037,0,4.285122250321153e-06
2026-04-17 01:06:38.471,0.0,73.889,2358.507021,0,0.0
2026-04-17 02:33:28.701,0.0,232.117,2344.389979,0,0.0
2026-04-17 02:34:28.000,4.049,233.745,1939.009571,0,2.3190034503643635e-05
2026-04-17 02:35:28.000,9.313,236.246,1533.387777,1,6.74391306610218e-05
2026-04-17 02:36:28.000,16.905,240.607,1139.759773,1,0.00016465634376233685
2026-04-17 02:37:28.000,29.727,250.255,779.31586,1,0.0004232901276670193
2026-04-17 02:38:28.000,51.452,283.631,528.050666,1,0.0010805938365247023
2026-04-17 02:39:28.000,47.095,0.017,561.016986,1,0.0009310711078361923
2026-04-17 02:40:28.000,26.738,25.206,845.384681,1,0.00035100929347856296
2026-04-17 02:41:28.000,15.334,33.286,1215.205286,1,0.00014008965405678872
2026-04-17 02:42:28.000,8.357,37.187,1611.653988,1,5.757934203276565e-05
2026-04-17 02:43:28.000,3.391,39.528,2017.875016,0,1.866275895197753e-05
2026-04-17 02:44:19.115,0.0,40.923,2366.867931,0,0.0
2026-04-17 04:12:17.126,0.0,284.882,2358.047748,0,0.0
2026-04-17 04:13:17.000,2.598,293.507,2088.342083,0,1.3816151458174915e-05
2026-04-17 04:14:17.000,4.993,304.424,1870.783963,0,2.963898552098973e-05
2026-04-17 04:15:17.000,6.784,317.707,1726.944632,1,4.3622796924072844e-05
2026-04-17 04:16:17.000,7.475,332.612,1676.415212,1,4.951401117707018e-05
2026-04-17 04:17:17.000,6.817,347.512,1727.477826,1,4.3821473035457063e-05
2026-04-17 04:18:17.000,5.057,0.787,1871.525532,1,3.0007008144169268e-05
2026-04-17 04:19:17.000,2.691,11.704,2088.797265,0,1.4307607967895392e-05
2026-04-17 04:20:17.000,0.113,20.356,2358.304619,0,5.321718719339123e-07
2026-04-17 04:20:19.594,0.0,20.685,2370.857039,0,0.0
2026-04-17 05:53:54.679,0.0,343.766,2371.548808,0,0.0
